"ID_ESTADO","NOMBRE_ESTADO","ID_MUNICIPIO","MUNICIPIO","MEADE","ANAYA","AMLO","MARGARITA","BRONCO","NUM_VOTOS_CAN_NREG","NUM_VOTOS_NULOS","GANADOR"
13,"HIDALGO",9,"ATITALAQUIA-HGO",2288,1447,9036,1,676,1,191,"AMLO"
30,"VERACRUZ",19,"AQUILA-VER",458,373,212,0,13,0,33,"MEADE"
20,"OAXACA",106,"SAN ANTONIO NANAHUATIPAM-OAX",95,17,622,0,7,0,13,"AMLO"
1,"AGUASCALIENTES",9,"TEPEZALA-AGS",3069,3042,3277,3,229,1,325,"AMLO"
20,"OAXACA",445,"SANTA MARIA YOLOTEPEC-OAX",19,25,167,0,0,0,13,"AMLO"
12,"GUERRERO",12,"AYUTLA DE LOS LIBRES-GRO",4028,2478,17739,22,163,3,1488,"AMLO"
28,"TAMAULIPAS",43,"XICOTENCATL-TAM",1123,7030,5274,1,390,1,289,"ANAYA"
12,"GUERRERO",60,"TEPECOACUILCO DE TRUJANO-GRO",3291,3962,7918,1,230,0,667,"AMLO"
31,"YUCATÁN",40,"IZAMAL-YUC",6207,2741,6137,3,242,2,431,"MEADE"
12,"GUERRERO",24,"CUALAC-GRO",1052,308,2450,0,16,0,144,"AMLO"
7,"CHIAPAS",120,"EMILIANO ZAPATA-CAM",746,364,4454,0,83,5,326,"AMLO"
20,"OAXACA",528,"SANTO TOMAS OCOTEPEC-OAX",125,92,1273,0,6,0,81,"AMLO"
21,"PUEBLA",212,"ZAUTLA-PUE",1614,3272,5778,0,125,4,527,"AMLO"
15,"MÉXICO",99,"TEXCALYACAC-MEX",734,406,1749,0,186,2,84,"AMLO"
13,"HIDALGO",79,"XOCHICOATLAN-HGO",1207,345,2399,0,64,0,189,"AMLO"
7,"CHIAPAS",87,"SUCHIAPA-CAM",1482,449,10262,11,105,0,571,"AMLO"
20,"OAXACA",153,"SAN ILDEFONSO VILLA ALTA-OAX",176,45,1326,4,8,0,43,"AMLO"
15,"MÉXICO",46,"JILOTEPEC-MEX",11326,8811,25075,20,2131,9,1464,"AMLO"
16,"MICHOACÁN",67,"PATZCUARO-MIC",5190,6030,22134,35,2054,27,1765,"AMLO"
20,"OAXACA",56,"MARTIRES DE TACUBAYA-OAX",195,104,599,0,1,0,18,"AMLO"
12,"GUERRERO",47,"OMETEPEC-GRO",6250,1929,21863,0,208,3,1508,"AMLO"
20,"OAXACA",432,"SANTA MARIA TECOMAVACA-OAX",262,27,737,2,25,0,83,"AMLO"
31,"YUCATÁN",37,"HUHI-YUC",1397,1080,907,0,13,0,66,"MEADE"
15,"MÉXICO",73,"RAYON-MEX",1748,862,3909,11,311,1,124,"AMLO"
32,"ZACATECAS",52,"VILLA GARCIA-ZAC",2532,1710,4964,4,177,1,312,"AMLO"
15,"MÉXICO",49,"JOCOTITLAN-MEX",9657,6441,17144,19,1672,15,821,"AMLO"
31,"YUCATÁN",33,"HALACHO-YUC",5759,1908,4949,0,83,1,320,"MEADE"
