ano,estado,municipio,cve_inegi,id_estado,id_municipio,pea,pea_h,pea_m,pei,pei_h,pei_m,pea_ocupada,pea_ocupada_h,pea_ocupada_m,pea_desocupada,pea_desocupada_h,pea_desocupada_m,tpe,tpe_h,tpe_m
2010,Chihuahua,Rosales,8055,8,55,6567,4736,1831,6265,1725,4540,6423,4626,1797,144,110,34,50.88,72.7,28.64
2010,Chihuahua,Rosario,8056,8,56,699,621,78,1099,295,804,678,600,78,21,21,0,38.66,67.35,8.8
2010,Chihuahua,San Francisco de Borja,8057,8,57,757,631,126,1110,330,780,730,605,125,27,26,1,39.99,64.39,13.8
2010,Chihuahua,San Francisco de Conchos,8058,8,58,1042,843,199,1257,346,911,1000,807,193,42,36,6,43.82,67.93,17.5
2010,Chihuahua,San Francisco del Oro,8059,8,59,1642,1259,383,2090,597,1493,1500,1137,363,142,122,20,43.55,66.97,20.26
2010,Chihuahua,Santa Barbara,8060,8,60,3667,2796,871,4495,1249,3246,3495,2645,850,172,151,21,44.67,68.65,21.06
2010,Chihuahua,Satevo,8061,8,61,1311,1150,161,1655,385,1270,1227,1068,159,84,82,2,43.69,73.67,11.18
2010,Chihuahua,Saucillo,8062,8,62,11893,8952,2941,12808,3416,9392,11410,8575,2835,483,377,106,47.77,71.64,23.72
2010,Chihuahua,Temosachic,8063,8,63,2159,1806,353,2650,677,1973,1996,1648,348,163,158,5,44.69,72.21,15.15
2010,Chihuahua,El Tule,8064,8,64,582,489,93,912,277,635,514,425,89,68,64,4,38.77,63.42,12.74
2010,Chihuahua,Urique,8065,8,65,7064,5785,1279,6948,1297,5651,6825,5579,1246,239,206,33,49.83,80.68,18.26
2010,Chihuahua,Uruachi,8066,8,66,2690,2365,325,3384,728,2656,2555,2244,311,135,121,14,44.16,76.24,10.87
2010,Chihuahua,Valle de Zaragoza,8067,8,67,1831,1477,354,2124,561,1563,1794,1446,348,37,31,6,45.97,71.73,18.4
